Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
81947-130288,RB,James,James Robinson,Robinson,11.183333079020182,6,5800,NYG@JAC,JAC,NYG,,,,,,RB/FLEX
81947-29685,WR,Robert,Robert Woods,Woods,6.980000305175781,5,5800,IND@TEN,TEN,IND,,,,,,WR/FLEX
81947-55335,TE,David,David Njoku,Njoku,8.59999974568685,6,5700,CLE@BAL,CLE,BAL,,,,,,TE/FLEX
81947-53303,RB,Matt,Matt Breida,Breida,1.6499999364217122,6,5700,NYG@JAC,NYG,JAC,,,,,,RB/FLEX
81947-41305,WR,Zay,Zay Jones,Jones,8.44000015258789,5,5700,NYG@JAC,JAC,NYG,,,,,,WR/FLEX
81947-87418,WR,Joshua,Joshua Palmer,Palmer,7.233333587646484,6,5700,SEA@LAC,LAC,SEA,O,Concussion,,,,WR/FLEX
81947-57986,WR,Hunter,Hunter Renfrow,Renfrow,5.166666666666667,3,5700,HOU@LV,LV,HOU,Q,Hip,,,,WR/FLEX
81947-71352,WR,Mecole,Mecole Hardman,Hardman,6.400000254313151,6,5700,KC@SF,KC,SF,,,,,,WR/FLEX
81947-93107,RB,AJ,AJ Dillon,Dillon,8.183333079020182,6,5700,GB@WAS,GB,WAS,,,,,,RB/FLEX
81947-86229,WR,Jahan,Jahan Dotson,Dotson,11.550000190734863,4,5600,GB@WAS,WAS,GB,Q,Hamstring,,,,WR/FLEX
81947-91419,WR,Nico,Nico Collins,Collins,6.94000015258789,5,5600,HOU@LV,HOU,LV,,,,,,WR/FLEX
81947-91426,WR,Donovan,Donovan Peoples-Jones,Peoples-Jones,6.116666793823242,6,5600,CLE@BAL,CLE,BAL,,,,,,WR/FLEX
81947-93539,RB,Michael,Michael Carter,Carter,8.583333333333334,6,5600,NYJ@DEN,NYJ,DEN,,,,,,RB/FLEX
81947-45439,WR,Corey,Corey Davis,Davis,9.433333079020182,6,5600,NYJ@DEN,NYJ,DEN,,,,,,WR/FLEX
81947-40647,WR,Marquez,Marquez Valdes-Scantling,Valdes-Scantling,5.833333333333333,6,5600,KC@SF,KC,SF,,,,,,WR/FLEX
81947-103539,WR,Wan'Dale,Wan'Dale Robinson,Robinson,6.099999904632568,2,5500,NYG@JAC,NYG,JAC,,,,,,WR/FLEX
81947-103564,WR,Garrett,Garrett Wilson,Wilson,8.799999872843424,6,5500,NYJ@DEN,NYJ,DEN,,,,,,WR/FLEX
81947-52613,WR,Curtis,Curtis Samuel,Samuel,10.133333206176758,6,5500,GB@WAS,WAS,GB,,,,,,WR/FLEX
81947-80353,TE,Robert,Robert Tonyan,Tonyan,6.900000254313151,6,5500,GB@WAS,GB,WAS,,,,,,TE/FLEX
