QB,RB,RB,WR,WR,WR,TE,FLEX,DEF,"","Instructions"
"82666-69189","82666-93134","82666-40442","82666-53681","82666-60858","82666-55635","82666-41872","82666-89956","82666-12541","","1) Create a lineup by inserting any player from this list into their appropriate position columns"
"","","","","","","","","","","2) You can paste either the Player ID + Name OR ID from their respective columns"
"","","","","","","","","","","3) Any information to the right of the last position column will be ignored in the upload"
"","","","","","","","","","","4) Maximum of 250 lineups per upload"
"","","","","","","","","",""
"","","","","","","","","","",Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
"","","","","","","","","","",82666-7872:Brian Hoyer,82666-7872,QB,Brian,Brian Hoyer,Hoyer,1.4800000190734863,1,6100,IND@NE,NE,IND,IR,Concussion,,,,QB
"","","","","","","","","","",82666-85741:Clyde Edwards-Helaire,82666-85741,RB,Clyde,Clyde Edwards-Helaire,Edwards-Helaire,12.357142857142858,7,6100,TEN@KC,KC,TEN,,,,,,RB/FLEX
"","","","","","","","","","",82666-28434:Trevor Siemian,82666-28434,QB,Trevor,Trevor Siemian,Siemian,0.20000000298023224,1,6100,MIA@CHI,CHI,MIA,,,,,,QB
"","","","","","","","","","",82666-14194:Blaine Gabbert,82666-14194,QB,Blaine,Blaine Gabbert,Gabbert,0.33000000317891437,6,6100,LAR@TB,TB,LAR,,,,,,QB
"","","","","","","","","","",82666-71710:Nate Stanley,82666-71710,QB,Nate,Nate Stanley,Stanley,,,6000,MIN@WAS,MIN,WAS,,,,,,QB
"","","","","","","","","","",82666-30761:Nathan Peterman,82666-30761,QB,Nathan,Nathan Peterman,Peterman,0.20000000298023224,1,6000,MIA@CHI,CHI,MIA,,,,,,QB
"","","","","","","","","","",82666-69833:Shane Buechele,82666-69833,QB,Shane,Shane Buechele,Buechele,,,6000,TEN@KC,KC,TEN,,,,,,QB
"","","","","","","","","","",82666-45259:Logan Woodside,82666-45259,QB,Logan,Logan Woodside,Woodside,-0.15000000596046448,4,6000,TEN@KC,TEN,KC,,,,,,QB
"","","","","","","","","","",82666-92362:Levi Lewis,82666-92362,QB,Levi,Levi Lewis,Lewis,,,6000,SEA@ARI,SEA,ARI,,,,,,QB
"","","","","","","","","","",82666-84287:Luis Perez,82666-84287,QB,Luis,Luis Perez,Perez,,,6000,LAR@TB,LAR,TB,,,,,,QB
"","","","","","","","","","",82666-25011:Darren Waller,82666-25011,TE,Darren,Darren Waller,Waller,7.875,4,6000,LV@JAC,LV,JAC,Q,Hamstring,,,,TE/FLEX
"","","","","","","","","","",82666-72241:Drew Plitt,82666-72241,QB,Drew,Drew Plitt,Plitt,,,6000,CAR@CIN,CIN,CAR,,,,,,QB
"","","","","","","","","","",82666-88630:Matt Corral,82666-88630,QB,Matt,Matt Corral,Corral,,,6000,CAR@CIN,CAR,CIN,IR,Foot,,,,QB
"","","","","","","","","","",82666-29445:Sean Mannion,82666-29445,QB,Sean,Sean Mannion,Mannion,12.960000038146973,1,6000,SEA@ARI,SEA,ARI,,,,,,QB
"","","","","","","","","","",82666-95026:Dustin Crum,82666-95026,QB,Dustin,Dustin Crum,Crum,,,6000,TEN@KC,KC,TEN,,,,,,QB
"","","","","","","","","","",82666-33647:Kyle Sloter,82666-33647,QB,Kyle,Kyle Sloter,Sloter,,,6000,LV@JAC,JAC,LV,,,,,,QB
"","","","","","","","","","",82666-39829:Mike Williams,82666-39829,WR,Mike,Mike Williams,Williams,12.285714285714286,7,6000,LAC@ATL,LAC,ATL,O,Ankle,,,,WR/FLEX
"","","","","","","","","","",82666-29605:Matt Barkley,82666-29605,QB,Matt,Matt Barkley,Barkley,,,6000,BUF@NYJ,BUF,NYJ,,,,,,QB
"","","","","","","","","","",82666-33702:Ryan Griffin,82666-33702,QB,Ryan,Ryan Griffin,Griffin,,,6000,LAR@TB,TB,LAR,,,,,,QB
"","","","","","","","","","",82666-93103:E.J. Perry,82666-93103,QB,E.J.,E.J. Perry,Perry,,,6000,LV@JAC,JAC,LV,,,,,,QB
